【货拉拉司机已被刑事拘留#货拉拉司机家属回应女子跳窗身亡#：双方因偏航有言语冲突有点牵强！】2月6日，长沙23岁女孩车某某搬家途中跳窗身亡。女孩家属质疑，涉事货拉拉司机为何不按照App规划路线行驶。且女孩乘车时还在群里正常交流工作，为何6分钟后跳窗。涉事货拉拉司机家属回应称，双方因偏航有言语冲突。另据红网23日报道，涉事司机周某春（男，38岁，长沙市岳麓区人），因涉嫌过失致人死亡罪，被公安机关依法刑事拘留。#V助平安#毫无疑问货拉拉司机没有完全供述当时真实情况，从一个侧面也反映出货拉拉管理存在严重漏洞。死者家属完全可以对货拉拉法人提起刑事自诉#货拉拉涉事司机被刑拘#新京报我们视频的微博视频,21-2-23 20:37
没有伞的孩子，必须努力奔跑。没有评论的微博，必须拼命点赞,21-2-23 20:38
相信警方，不冤枉一个好人，也不放过一个坏人,21-2-23 20:40
偏航并不违法，主要是同车人出现意外时驾驶人有义务立即采取措施抢救。否则就是过失。,21-2-24 05:45
没有伞的孩子，必须努力奔跑。没有评论的微博，必须拼命点赞,21-2-23 20:38
相信警方，不冤枉一个好人，也不放过一个坏人,21-2-23 20:40
偏航并不违法，主要是同车人出现意外时驾驶人有义务立即采取措施抢救。否则就是过失。,21-2-24 05:45
大瓜！货拉拉女孩疑似那个职业被贴吧大神挖出！跳车终可解？大瓜！货拉拉女孩疑似那个职业被贴吧大神挖出！跳车终可解？大专刚毕业当HR月入2万。拉男性去APP搞软聊天，她是招聘女下线的。被耍的男金主就威胁要报复她，所以她对男性很有戒心。这个瓜真没有想到，群众的信息挖掘能力真厉害。,21-3-9 08:06
换个角度如果是女司机，然后男乘客跳车，有女的会说女司机言语骚扰男乘客么？所以男司机的性别成了“原罪”,21-3-12 18:47
她们是心疼被害人吗？她们不是。她们是希望不要打扰到逝者吗？其实也不是。她们只是要确保她们的论调“正常人没危险谁跳车？所以肯定有危险。”正确，并引导到“男性是危险”上去；任何敢质疑这条信息甚至想到“正常人没危险谁跳车？所以肯定不是正常人。”都是她们的敌人。,21-3-14 00:42
官媒叫我们不要臆想，虽然我很早就和同事说月入两万真牛逼。,21-3-15 09:20
换个角度如果是女司机，然后男乘客跳车，有女的会说女司机言语骚扰男乘客么？所以男司机的性别成了“原罪”,21-3-12 18:47
她们是心疼被害人吗？她们不是。她们是希望不要打扰到逝者吗？其实也不是。她们只是要确保她们的论调“正常人没危险谁跳车？所以肯定有危险。”正确，并引导到“男性是危险”上去；任何敢质疑这条信息甚至想到“正常人没危险谁跳车？所以肯定不是正常人。”都是她们的敌人。,21-3-14 00:42
